Node;Distance;Azimut;SN
R0;0;0;2606
R1-01;5;37;3514
R1-02;5;97;0295
R1-03;5;157;4565
R1-04;5;217;0891
R1-05;5;277;2464
R1-06;5;337;2293
R2-01;15;7;2023
R2-02;15;67;2710
R2-03;15;127;1411
R2-04;15;187;0626
R2-05;15;247;0152
R2-06;15;307;2636
R3-01;45;37;0501
R3-02;45;97;2660
R3-03;45;157;1435
R3-04;45;217;2786
R3-05;45;277;0582
R3-06;45;337;0757
R4-01;135;7;1030
R4-02;135;63;1460
R4-03;135;123;1607
R4-04;135;179;5270
R4-05;135;242;1689
R4-06;135;303;0043
R5-01;335;5;0593
R5-02;335;85;2041
R5-03;335;155;1076
R5-04;335;223;0956
R5-05;335;293;2588
